用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈,
…以上,いじょう,2,not less than …,下限を示すことに重点がある場合,１年以上の,for not less than 1 year,,,
…以上,いじょう,3,… or heavier,刑の場合,罰金以上の刑,fine or heavier punishment,,,
意匠権,いしょうけん,,design right,,,,,,
意匠権者,いしょうけんしゃ,,holder of a design right,,,,,,
意匠原簿,いしょうげんぼ,,design register,,,,,,
意匠公報,いしょうこうほう,,design bulletin,,,,,,
意匠登録,いしょうとうろく,,design registration,,,,,,
意匠登録出願,いしょうとうろくしゅつがん,,application for design registration,,,,,,
意匠登録証,いしょうとうろくしょう,,certificate of design registration,,,,,,
意匠の創作をした者,いしょうのそうさくをしたもの,,creator of a design,,,,,,
委嘱,いしょく,1,commission,,,,,,
委嘱,いしょく,2,entrustment,,,,,,
委嘱,いしょく,3,delegation,,,,,,
移送,いそう,1,transfer,,,,,,
移送,いそう,2,transportation,,,,,,
遺贈,いぞう,,testamentary gift,,,,,,
移送の裁判,いそうのさいばん,1,decision of transfer,,,,,,
移送の裁判,いそうのさいばん,2,decision to transfer,,,,,,
遺族,いぞく,1,surviving family (member),個々の遺族を指す場合,,,,,
遺族,いぞく,2,bereaved family,,,,,,
遺族基礎年金,いぞくきそねんきん,,basic pension for surviving family,,,,,,
遺族補償一時金,いぞくほしょういちじきん,,lump sum compensation for surviving family,,,,,,
遺族補償年金前払一時金,いぞくほしょうねんきんまえばらいいちじきん,,compensation pension advance for surviving family,,,,,,
委託,いたく,1,entrustment,,,,,,
委託,いたく,2,consignment,,,,,,
委託,いたく,3,delegation,（信託法・信託業法における）権限の委託,,,,,
委託契約,いたくけいやく,,service agreement,,,,,,
委託者,いたくしゃ,1,requesting party,,,,,,
委託者,いたくしゃ,2,delegating party,,,,,,
委託者,いたくしゃ,3,entrustor,その他の事務の委託,,,,,
委託者,いたくしゃ,4,settlor,信託,,,,,
委託者,いたくしゃ,5,consignor,販売・運送等の委託,,,,,
委託者指図型投資信託,いたくしゃさしずがたとうししんたく,,investment trust with settlor's instructions,,,,,,
委託者非指図型投資信託,いたくしゃひさしずがたとうししんたく,,investment trust without settlor's instructions,,,,,,
委託する,いたくする,1,request,一般に委託する場合,,,,,
委託する,いたくする,2,ask,一般に委託する場合,,,,,
委託する,いたくする,3,delegate,権限を代わって行使することを委託する場合,,,,,
委託する,いたくする,4,entrust,信認関係の下で事務を委託する場合,,,,,
委託する,いたくする,5,consign,商品の販売を委託する場合,,,,,
委託料金,いたくりょうきん,,commission,,,,,,
一時金,いちじきん,,lump sum payment,,,,,,
一時庇護,いちじひご,,temporary refuge,,,,,,
一時所得,いちじしょとく,,occasional income,,,,,,
著しい,いちじるしい,,extreme,,,,,,
著しい損害又は遅滞,いちじるしいそんがいまたはちたい,,extreme harm or delay,,裁判所は、著しい損害又は遅滞を避けるため必要があると認めるときは、…,"When the court finds it is necessary for avoiding extreme harm or delay,…",会社法835条,,
一部改正,いちぶかいせい,,partial revision,,,,,,
一括売却,いっかつばいきゃく,,disposal by a sale en bloc,,,,,【注】（出典）破産法78条2項4号,
一身専属性,いっしんせんぞくせい,,personal nature,,,,,,
一般異議申述期間,いっぱんいぎしんじゅつきかん,,ordinary period for making objections,,,,,【注】（出典）民事再生法222条3項,
一般財団法人,いっぱんざいだんほうじん,,general incorporated foundation,,,,,,
一般社団法人,いっぱんしゃだんほうじん,,general incorporated association,,,,,,
一般承継人,いっぱんしょうけいにん,,general successor,,前項の規定による請求は、…一般承継人と共同してしなければならない,requests pursuant to the provisions of the preceding paragraph must be made jointly …with the person's general successors,会社法133条2項,,
一般消費者,いっぱんしょうひしゃ,,general consumers,,,,,,
一般職,いっぱんしょく,,regular service,,,,,,
一般調査期間,いっぱんちょうさきかん,,ordinary period for investigation,,,,,【注】（出典）破産法112条,
一般調査期日,いっぱんちょうさきじつ,,ordinary date of investigation,,,,,,
一般に公正妥当と認められる企業会計の基準,いっぱんにこうせいとみとめられるきぎょうかいけいのきじゅん,,business accounting standards generally accepted as fair and appropriate,,,,,,
一般の先取特権,いっぱんのさきどりとっけん,,general statutory lien,,,,,,
一般の優先権がある債権,いっぱんのゆうせんけんがあるさいけん,,general priority claim,,,,,【注】（出典）民事再生法122条1項,
一般弁済期間,いっぱんべんさいきかん,,general period for payment,,,,,【注】（出典）民事再生法199条,
偽りその他不正の手段,いつわりそのたふせいのしゅだん,,deception or other wrongful means,,,,,,
移転,いてん,1,transfer,権利等の移転,鉱業権、工業所有権その他これらに類する権利の移転,"transfer of the mining right, industrial property right or other right similar thereto",外国為替令14条1項4号,,
移転,いてん,2,relocation,主たる事務所の移転など,支店の設置、移転及び廃止,"The establishment, relocation and abolition of branch offices",会社法482条3項2号,,
移転,いてん,3,removal,人・物の場所的な移動など,,,,,
遺伝子組換え生物,いでんしくみかえせいぶつ,1,genetically modified organism,原則,,,,【注】（出典）生物多様性条約,
遺伝子組換え生物,いでんしくみかえせいぶつ,2,living modified organism,食物等を含まない場合,,,,【注】（出典）カルタヘナ議定書,
遺伝子組換え微生物,いでんしくみかえびせいぶつ,1,genetically modified microorganism,原則,,,,,
遺伝子組換え微生物,いでんしくみかえびせいぶつ,2,modified microorganisms,食物等を含まない場合,,,,,
委任,いにん,1,mandate,民法上の委任契約,委任は、当事者の一方が法律行為をすることを相手方に委託し、相手方がこれを承諾することによって、その効力を生ずる。,"A mandate becomes effective when one of the parties mandates the other party to perform a juridical act, and the other party accepts the mandate.",民法第643条,,
委任,いにん,2,delegation,権限の委任という意味での委任,ある種類又は特定の事項の委任を受けた使用人,Employees to Whom the Authority for a Certain Kind of Matter or a Specific Matter Is Delegated,会社法14条,,
委任,いにん,3,entrustment,,,,,,
委任事務,いにんじむ,,delegated business,,,,,,
委任状,いにんじょう,1,power of attorney,,,,,,
委任状,いにんじょう,2,proxy,会社法関係や会議の代理委任状,,,,【注】（出典）商法26条,
委任による代理人,いにんによるだいりにん,,privately appointed agent,,委任による代理人は、…復代理人を選任することができない,A privately appointed agent may not appoint a sub-agent …,民法104条,,
威迫,いはく,,intimidation,,,,,,
違反,いはん,1,violation,,違反事件,a case of violation,出入国管理及び難民認定法31条,,
違反,いはん,2,offense,,,,,,
違反,いはん,3,contravention,,第三十五条第一項の規定に違反して財務諸表等を備えて置かず、財務諸表等に記載すべき事項を記載せず、若しくは虚偽の記載をし、,"a person who fails to prepare financial statements, etc., fails to record necessary items or makes false records contravening the provisions of Article 35, paragraph1",工業標準化法74条2号,,
違反,いはん,4,breach,,秘密保持命令違反の罪,Crime of breach of protective order,特許法200条の2,,
違反行為,いはんこうい,1,violation,,,,,,
違反行為,いはんこうい,2,illegal conduct,,,,,,
違反調査,いはんちょうさ,,investigation into violation,,,,,,
委付,いふ,,abandonment (abandon),,,,,,
違法な,いほうな,1,illegal,,違法行為等の是正,"Rectification of Illegal Acts, etc.",日本銀行法56条タイトル,,
違法な,いほうな,2,unlawful,,,,,【注】unlawfulは一般にillegalと同義に用いられるが、illegalが法の明示の禁止に違反していることを意味するのに対し、unlawfulは公序良俗に反するなどの理由によって意図された効果を発生させないものを意味するというように、区別して用いられることがある。,
違約金,いやくきん,,penalty,,,,,,
医薬品,いやくひん,,medicine,,,,,,
医薬部外品,いやくぶがいひん,,quasi-pharmaceutical products,,,,,,
入会権,いりあいけん,,right of common,,,,,,
遺留した物,いりゅうしたぶつ,,article left behind,,,,,,
遺留分,いりゅうぶん,,statutory reserved share,,遺留分を有する推定相続人,a presumptive heir who has a statutory reserved share,民法892条,,
医療給付,いりょうきゅうふ,,medical care benefit,,,,,,
威力,いりょく,,force,,,,,,
印影,いんえい,,seal impression,,,,,,
印鑑,いんかん,,seal impression,印影の趣旨で用いられる場合,,,,,
印鑑登録,いんかんとうろく,,seal registration,,,,,,
印章,いんしょう,,seal,,,,,【注】印影の趣旨で用いられる場合はseal impression,
姻族,いんぞく,1,affinity,,,,,,
姻族,いんぞく,2,relatives by marriage,,,,,,
引致,いんち,,to bring (… to …),,,,,,
隠匿,いんとく,,concealment,,犯罪による収益の隠匿及び収受,concealment and receipt of proceeds of crime,組織的犯罪処罰法1条,,
隠避する,いんぴする,1,enable to escape,犯人隠避,,,,【注】（出典）刑法103条,
隠避する,いんぴする,2,hide,被略取者,,,,【注】（出典）刑法227条2項,
陰謀,いんぼう,,plot,,,,,,
隠滅,いんめつ,1,destruction,一般的な場合,,,,,
隠滅,いんめつ,2,spoliation,刑事の場合（滅失・改竄を含む）,,,,,
引用,いんよう,,quotation,,,,,,
受入れ,うけいれ,1,acceptance,,,,,,
受入れ,うけいれ,2,receipt,,,,,,
受入移送,うけいれいそう,,incoming transfer,,,,,,
受入収容状,うけいれしゅうようじょう,,writ of commitment for incoming transfer,,,,,,
受入受刑者,うけいれじゅけいしゃ,,incoming sentenced person,,,,,"【注】国連人権Ｂ規約第５回政府報告書において、prison、prisonerという表現を避け、「被収容者」inmate、「受刑者」sentenced inmate、「未決被収容者」unsentenced inmateに統一する扱いとなったが、""inmate""は単独で「受刑者」の意味を持ちうる語であるため、本辞書においては、「受刑者」については""inmate""部分に""person""を充てたsentenced personを、「未決被収容者」については""detainee""を充てたunsentenced detaineeを選定した。",
請負,うけおい,,contract for work,,,,,,
請負人,うけおいにん,,contractor,,,,,,
受取証書,うけとりしょうしょ,,receipt,,,,,,
受取手形,うけとりてがた,,negotiable instrument receivable,会計勘定科目,,,,,
氏,うじ,,surname,,,,,,
打切補償,うちきりほしょう,,compensation for discontinuance,,,,,,
訴え,うったえ,1,action,,訴えを提起する,filing an action,会社法601条,,
訴え,うったえ,2,suit,,,,,,
訴え,うったえ,3,lawsuit,,,,,,
訴え,うったえ,4,litigation,,審査請求と訴訟との関係,Relationship Between Request for Examination and Litigation,生活保護法69条,,
訴えによって,うったえによって,,by filing an action,,前項の規定による取消権は、訴え又は抗弁によって、行使する,The rights of rescission under the provisions of the preceding paragraph are exercised by the filing of an action or defense,会社法544条2項,,
訴えの変更,うったえのへんこう,,amendment of claim,,,,,【注】この場合の「訴え」は請求の趣旨の変更の意味であるため、claimとする。,
裏書,うらがき,,endorsement,,,,,,
裏書人,うらがきにん,,endorser,,,,,,
裏書の連続,うらがきのれんぞく,,uninterrupted series of endorsements,,,,,,
売上原価,うりあげげんか,,cost of sales,会計勘定科目,,,,,
売上高,うりあげだか,1,sales,,,,,,
売上高,うりあげだか,2,sales volume,,,,,,
売上高,うりあげだか,3,net sales,会計勘定科目,,,,,
売掛金,うりかけきん,,accounts receivable,会計勘定科目,,,,,
売付け,うりつけ,,selling,,,,,,
売渡し,うりわたし,,sale,,,,,,
運営,うんえい,1,operation,,労働者派遣事業の適正な運営の確保,securing the proper operation of worker dispatching undertakings,労働者派遣事業の適正な運営の確保及び派遣労働者の就業条件の整備等に関する法律1条,,
運営,うんえい,2,management,,,,,,
運営,うんえい,3,administration,,協議組織の設置及び運営,establishment and administration of a consultative organization,労働安全衛生法30条1項1号,,
運営委員会,うんえいいいんかい,1,management committee,,,,,,
運営委員会,うんえいいいんかい,2,operation committee,,,,,,
運営評議員会,うんえいひょうぎいんかい,,management council,,,,,,
運送,うんそう,,transportation,,,,,,
運送業者,うんそうぎょうしゃ,1,transport operator,,,,,,
運送業者,うんそうぎょうしゃ,2,common carrier,,,,,,
運送賃,うんそうちん,,freight (charge),,,,,,
運送取扱営業,うんそうとりあつかいえいぎょう,,forwarding agency,,,,,,
運送取扱人,うんそうとりあつかいにん,,freight forwarder,,,,,,
運送人,うんそうにん,,carrier,,,,,,
運送品,うんそうひん,1,goods,,,,,,
運送品,うんそうひん,2,freight,,,,,,
運送品,うんそうひん,3,cargo,,,,,,
運送保険,うんそうほけん,,cargo insurance,,,,,,
運用,うんよう,1,operation,一般的な場合,,,,,
運用,うんよう,2,investment,資産の運用,金銭を運用することによって得られた収益,the profits obtained by investing the money,保険業法89条2項,,
運用,うんよう,3,utilization,,国内にある資産の運用、保有若しくは譲渡,"utilization, holding or transfer of assets located in Japan",法人税法138条,,
運用資金,うんようしきん,,operating fund,,,,,,
映画製作者,えいがせいさくしゃ,,maker of cinematographic works,,,,,,
映画の著作物,えいがのちょさくぶつ,,cinematographic work(s),,,,,"【注】通例""works""（複数形）",
営業,えいぎょう,1,business,原則,,,,,
営業,えいぎょう,2,operation,会社法・商法等の関係で「事業（business）」との訳し分けが必要な場合やその他の場合,,,,"【Note】In the Companies Act of 2006, new word ""jigyo"" was introduced to mean those what was called in the past as ""eigyo"", because the word ""jigyo"" was more popular in the actual business world. Therefore, in the new Companies Act, the word ""jigyo"" is used",
営業外収益,えいぎょうがいしゅうえき,,non-operating revenues,会計勘定科目,,,,,
営業外費用,えいぎょうがいひよう,,non-operating expenses,会計勘定科目,,,,,
営業所,えいぎょうしょ,1,place of business,商人の営業の本拠で、営業上の活動が行われる一定の場所をいう場合,,,,,
営業所,えいぎょうしょ,1,business office,「事務所」、「事業所」、「事業場」などのように物理的な営業の行われる場所を意味する場合,,,,,
営業損失,えいぎょうそんしつ,,operating loss,会計勘定科目,,,,,
営業年度,えいぎょうねんど,1,business year,原則,,,,,
営業年度,えいぎょうねんど,2,fiscal year,会社法・商法等の関係で「事業年度(business year)」との訳し分けが必要となる場合,,,,,
営業の部類,えいぎょうのぶるい,1,line of business,原則,自己又は第三者のためにその商人の営業の部類に属する取引をすること,"carry out, for the manager or for a third party, any transaction which is in the line of business of the merchant",商法23条1項2号,,
営業の部類,えいぎょうのぶるい,2,line of operations,会社法・商法等の関係で「事業の部類(line of business)」との訳し分けが必要となる場合,,,,,
営業秘密,えいぎょうひみつ,,trade secret,,,,,,
営業報告書,えいぎょうほうこくしょ,1,business report,原則,,,,,
営業報告書,えいぎょうほうこくしょ,2,operating report,会社法・商法等の関係で「事業報告書(business report)」との訳し分けが必要となる場合,,,,,
営業利益,えいぎょうりえき,,operating profit,会計勘定科目,,,,,
永小作権,えいこさくけん,,farming right,,永小作権の内容,content of farming right,民法270条,,
永小作人,えいこさくにん,,farming right holder,,永小作人は、…耕作又は牧畜をする権利を有する,A farming right holder has the right to engage in cultivation or livestock farming …,民法270条,,
永住,えいじゅう,,permanent residence,,,,,,
永住許可,えいじゅうきょか,,permission for permanent residence,,,,,,
永住者,えいじゅうしゃ,,permanent resident,,,,,,
衛生,えいせい,1,health,,,,,【注】healthの方がsanitationよりも意味が広い。,
衛生,えいせい,2,sanitation,,,,,,
衛生委員会,えいせいいいんかい,,health committee,,,,,,
衛生管理責任者,えいせいかんりせきにんしゃ,,health manager,,,,,,
衛生推進者,えいせいすいしんしゃ,,health promoter,,,,,,
影像,えいぞう,,image,,,,,,
営利,えいり,,profit,,,,,,
営利企業,えいりきぎょう,,enterprise for profit,,,,,,
営利事業,えいりじぎょう,,business for profit,,,,,,
営利の目的,えいりのもくてき,,for (the purpose of) profit,,,,,,
疫学的調査,えきがくてきちょうさ,,epidemiological survey,,,,,,
益金,えききん,,gross income,,,,,,
役務,えきむ,,service,,,,,,
役務提供委託,えきむていきょういたく,,service contract,,,,,,
閲覧,えつらん,,inspection,,,,,,
遠隔の地,えんかくのち,,remote place,,,,,,
延期,えんき,,postponement,,,,,,
縁組,えんぐみ,,adoption,,,,,,
援護,えんご,1,aid,,危険を回避するために必要な援護,necessary aid for avoiding danger,障害者自立支援法5条4項,,
援護,えんご,2,assistance,,就業の促進、住宅の確保、援護等に関する制度の利用,"employment promotion, housing procurement, and the use of systems for social assistance",DV防止法3条3項4号,,
援助,えんじょ,1,assistance,,,,,,
援助,えんじょ,2,support,,,,,,
延焼,えんしょう,,(fire) spread,,,,,,
延滞税,えんたいぜい,,tax on delinquency,,,,,,
援用,えんよう,1,invocation,法的主張の援用,時効の援用,invocation of prescription,民法145条,,
援用,えんよう,2,reference,その他資料等の援用,,,,,
援用,えんよう,3,citation,その他資料等の援用,,,,【注】（出典）刑訴法378条・379条,
押印,おういん,,seal,,,,,,
押収,おうしゅう,,seizure,,,,,,
押収物,おうしゅうぶつ,,seized article,,,,,,
応訴管轄,おうそかんかつ,,jurisdiction by appearance,,,,,,
応当する日,おうとうするひ,1,corresponding day,,最後の月に応当する日がないときは,where there is no corresponding day in the last month,特許法3条1項2号,,
応当する日,おうとうするひ,2,day corresponding to,「〜に応当する日」のような用例の場合,その起算日に応当する日の前日に,on the preceding day of the day corresponding to the first day of the calculation,特許法3条1項2号,,
往来危険,おうらいきけん,,endangering traffic,,,,,,
往来妨害,おうらいぼうがい,,obstructing traffic,,,,,,
横領,おうりょう,,embezzlement,,,,,,
公の秩序又は善良の風俗,おおやけのちつじょまたはぜんりょうのふうぞく,,public policy,,,,,,
犯す,おかす,,commit,,,,,,
汚職,おしょく,,corruption,,,,,,
汚水,おすい,1,polluted water,有毒物質に汚染された水,,,,,
汚水,おすい,2,sewage,下水,,,,,
汚水,おすい,3,filthy water,汚い水,,,,,
汚染,おせん,1,pollution,原則,ダイオキシン類による土壌の汚染,soil pollution by dioxins,ダイオキシン類対策特別措置法29条1項,,
汚染,おせん,2,contamination,放射能、毒物等による汚染,核燃料物質によって汚染された物,material contaminated by nuclear fuel material,核原料物質、核燃料物質及び原子炉の規制に関する法律,,
汚染状態,おせんじょうたい,1,condition of pollution,,,,,,
汚染状態,おせんじょうたい,2,polluted condition,,,,,,
おそれ,おそれ,1,risk,,個人の権利利益が害されるおそれがないと認められるとき,when it is found that there is no risk of harm to an individual's rights and interest,,,
おそれ,おそれ,1,risk,,公共の利益が著しく阻害されるおそれ,a risk of extreme impairment of public interest,電気通信事業法29条,,
おそれ,おそれ,2,likelihood,,証人が著しく不安又は緊張を覚えるおそれがある,the witness is likely to feel extreme anxiety or tension,刑訴法157条の2,,
おそれ,おそれ,2,likelihood,,営業上の利益を侵害され、又は侵害されるおそれがある会社,"Any Company the enterprise interests of which have been, or are likely to be, infringed",会社法8条1項,,
おそれ,おそれ,3,threat,,紛争のおそれ,threat of a dispute,,,
汚濁,おだく,,pollution,,,,,,
親会社,おやがいしゃ,,parent company,,,,,,
親子,おやこ,1,parent and child,原則,,,,,
親子,おやこ,2,parent and subsidiary,組織関係で用いる場合,,,,,
親事業者,おやじぎょうしゃ,1,parent enterprise,資本関係,,,,,
親事業者,おやじぎょうしゃ,2,main subcontracting enterprise,下請等の取引関係,この法律で「親事業者」とは、次の各号のいずれかに該当する者をいう。,"The term ""main subcontracting entrepreneur"" as used in this Act means any entity that falls under any of the following items",下請代金支払遅延等防止法2条7項,,
及び,および,,and,,,,,,
卸売,おろしうり,,wholesale,,,,,,
音楽の著作物,おんがくのちょさくぶつ,,musical work(s),,,,,"【注】通例""works""（複数形）",
恩赦,おんしゃ,,pardon,恩赦,,,,【注】amnestyは主に政治犯を対象とするため、pardonとする。,
恩赦状,おんしゃじょう,,certificate of pardon,,,,,,
海員,かいいん,,crew member,,,,,,
買受可能価額,かいうけかのうかかく,,minimum purchase price,,,,,,
海外経済協力,かいがいけいざいきょうりょく,,overseas economic cooperation,,,,,,
買掛金,かいかけきん,,accounts payable,会計勘定科目,,,,,
外貨建債券,がいかだてさいけん,,a foreign currency denominated bond,,,,,,
外患援助,がいかんえんじょ,,assistance to enemy,,,,,,
外患誘致,がいかんゆうち,,instigation of foreign aggression,,,,,,
会議,かいぎ,1,council,,総合科学技術会議,Council for Science and Technology Policy,,,
会議,かいぎ,1,council,,日本学術会議,Science Council of Japan,,,
会議,かいぎ,2,meeting,,審査会は、会長及び二人以上の委員の出席がなければ、会議を開き、議決をすることができない,The Board may neither hold a meeting nor make a resolution unless the Chairperson and two Board members or more attend the meeting,国家公務員倫理法20条1項,,
会議,かいぎ,3,conference,,国際的規模で開催される会議,international conference,出入国管理及び難民認定法5条,,
会計,かいけい,,accounting,,,,,,
会計監査人,かいけいかんさにん,,accounting auditor,,,,,,
会計監査人設置会社,かいけいかんさにんせっちがいしゃ,,company with accounting auditors,,,,,,
会計参与,かいけいさんよ,,accounting advisor,,,,,,
会計参与設置会社,かいけいさんよせっちがいしゃ,,company with accounting advisors,,,,,,
会計帳簿,かいけいちょうぼ,,accounting books,,,,,,
会計年度,かいけいねんど,,fiscal year,,,,,,
解雇,かいこ,,dismissal,,,,,,
介護,かいご,1,nursing care,原則,,,,,
介護,かいご,2,elderly care,老人介護の場合,,,,,
介護休業,かいごきゅうぎょう,,nursing care leave,,,,,,
介護給付,かいごきゅうふ,,nursing care benefit,,,,,,
戒告,かいこく,,admonition,,,,,,
外国,がいこく,1,foreign state,,,,,,
外国,がいこく,2,foreign country,,外国の法令,laws and regulations of a foreign country,会社法2条2号,,
外国会社,がいこくがいしゃ,,foreign company,,,,,,
外国為替,がいこくかわせ,,foreign exchange,,,,,,
外国管財人,がいこくかんざいにん,,foreign trustee,,,,,,
外国刑,がいこくけい,,foreign punishment,,,,,,
外国語実用新案登録出願,がいこくごじつようしんあんとうろくしゅつがん,,utility model application in foreign language,,,,,,
